run_id,final_potential,optimal_potential,convergence_gap,training_time,num_episodes,final_trajectory_length,config_num_agents,config_state_dim,config_action_dim,config_history_len,config_episode_len,config_gamma,config_batch_size,config_use_episodic_freeze,config_use_baseline,config_learning_rate,config_init_states_tuple,config_seed,config_experiment_name,config_check_nash_equilibrium,agent_0_final_loss,agent_0_final_return,agent_1_final_loss,agent_1_final_return,agent_2_final_loss,agent_2_final_return
sweep_seed_1025451466,423.96319580078125,711.6050415039062,287.641845703125,119.0578043460846,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1025451466,NE_convergence_experiment,False,-15.099457740783691,140.92721557617188,-32.8658332824707,133.47079467773438,-23.663957595825195,138.99118041992188
sweep_seed_1031410876,423.96319580078125,711.6050415039062,287.641845703125,122.43306684494019,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1031410876,NE_convergence_experiment,False,-18.011981964111328,139.5458984375,-34.808143615722656,132.27975463867188,-14.694969177246094,141.11187744140625
sweep_seed_104832471,423.96319580078125,709.6050415039062,285.641845703125,121.56483030319214,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 2, 0)",104832471,NE_convergence_experiment,False,-18.534639358520508,140.73150634765625,-18.171993255615234,138.3851776123047,-40.9976806640625,133.2930145263672
sweep_seed_1057684339,616.7245483398438,711.6050415039062,94.8804931640625,162.87942004203796,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1057684339,NE_convergence_experiment,False,-59.05667495727539,588.9862060546875,-15.450467109680176,450.37060546875,-28.98688507080078,453.3690185546875
sweep_seed_1065858366,423.96319580078125,711.6050415039062,287.641845703125,120.92298722267151,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 1)",1065858366,NE_convergence_experiment,False,-11.670064926147461,141.22630310058594,-18.3631649017334,138.4031524658203,-20.036762237548828,134.87278747558594
sweep_seed_1066207224,423.96319580078125,711.6050415039062,287.641845703125,117.37267994880676,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1066207224,NE_convergence_experiment,False,-19.711999893188477,143.8268280029297,-8.551898956298828,136.07122802734375,-13.353269577026367,140.41259765625
sweep_seed_1070565993,423.96319580078125,709.6050415039062,285.641845703125,118.27502465248108,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 0, 2)",1070565993,NE_convergence_experiment,False,-4.589287757873535,142.85447692871094,-25.195363998413086,137.8699951171875,-19.43113899230957,136.7796173095703
sweep_seed_1078349150,616.7245483398438,711.6050415039062,94.8804931640625,113.4193422794342,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 2, 1)",1078349150,NE_convergence_experiment,False,-12.906360626220703,585.5113525390625,-79.9826889038086,448.871337890625,-17.695899963378906,446.300048828125
sweep_seed_107846371,423.96319580078125,709.6050415039062,285.641845703125,124.87757325172424,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 2, 0)",107846371,NE_convergence_experiment,False,-29.867204666137695,134.8079071044922,-49.038307189941406,129.14071655273438,-23.811174392700195,140.15591430664062
sweep_seed_109501881,423.96319580078125,711.6050415039062,287.641845703125,120.18736624717712,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 1)",109501881,NE_convergence_experiment,False,-16.056930541992188,138.37725830078125,-22.14703369140625,139.76229858398438,-34.73216247558594,133.24403381347656
sweep_seed_1096214611,423.96319580078125,711.6050415039062,287.641845703125,149.6324212551117,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 1)",1096214611,NE_convergence_experiment,False,-11.20807933807373,140.66067504882812,-22.579299926757812,139.42535400390625,-16.13930892944336,136.95326232910156
sweep_seed_1099691374,616.7245483398438,711.6050415039062,94.8804931640625,116.97059559822083,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 2, 1)",1099691374,NE_convergence_experiment,False,-7.171183824539185e-08,601.0447998046875,-12.015592575073242,459.9714050292969,-28.44369888305664,461.59625244140625
sweep_seed_1104125174,423.96319580078125,709.6050415039062,285.641845703125,120.99016761779785,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 0, 2)",1104125174,NE_convergence_experiment,False,-21.53003692626953,136.54908752441406,-25.993253707885742,139.1188201904297,-21.55093765258789,135.89129638671875
sweep_seed_1111766880,616.7245483398438,711.6050415039062,94.8804931640625,112.37738847732544,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1111766880,NE_convergence_experiment,False,-12.78222942352295,595.2540283203125,-4.441912651062012,454.2668151855469,-37.243614196777344,458.5206298828125
sweep_seed_1119179194,423.96319580078125,709.6050415039062,285.641845703125,155.06841135025024,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 0, 2)",1119179194,NE_convergence_experiment,False,-1.6731036901474,143.731201171875,-39.953025817871094,135.50018310546875,-40.97947692871094,131.10850524902344
sweep_seed_1129763209,616.7245483398438,711.6050415039062,94.8804931640625,113.05681800842285,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 2, 1)",1129763209,NE_convergence_experiment,False,-60.54778289794922,587.0447387695312,-34.98845672607422,448.6009826660156,-25.77918815612793,449.83544921875
sweep_seed_1143809828,423.96319580078125,711.6050415039062,287.641845703125,119.99809145927429,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1143809828,NE_convergence_experiment,False,-8.461389541625977,144.21205139160156,-34.79552459716797,127.69397735595703,-23.675853729248047,139.27186584472656
sweep_seed_1144269602,616.7245483398438,711.6050415039062,94.8804931640625,111.83465075492859,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1144269602,NE_convergence_experiment,False,-23.919618606567383,586.0994262695312,-45.26643753051758,448.8662109375,-24.968032836914062,448.25225830078125
sweep_seed_1150928999,616.7245483398438,711.6050415039062,94.8804931640625,113.2925477027893,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1150928999,NE_convergence_experiment,False,-59.29695129394531,583.9930419921875,-27.520774841308594,447.4925537109375,-45.876216888427734,446.32525634765625
sweep_seed_1175690263,423.96319580078125,709.6050415039062,285.641845703125,121.24826717376709,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 0, 2)",1175690263,NE_convergence_experiment,False,-8.893402099609375,140.34352111816406,-38.869895935058594,136.25628662109375,-33.88839340209961,135.66683959960938
sweep_seed_1175846864,423.96319580078125,709.6050415039062,285.641845703125,121.45947408676147,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 0, 2)",1175846864,NE_convergence_experiment,False,-13.836312294006348,143.45396423339844,-12.59017276763916,139.978271484375,-25.19388771057129,134.7085723876953
sweep_seed_117612189,616.7245483398438,711.6050415039062,94.8804931640625,111.18416953086853,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",117612189,NE_convergence_experiment,False,-49.82136535644531,585.4085693359375,-10.803153038024902,448.43896484375,-33.346439361572266,448.65704345703125
sweep_seed_1185183688,423.96319580078125,711.6050415039062,287.641845703125,128.7912459373474,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1185183688,NE_convergence_experiment,False,-16.645536422729492,139.86709594726562,-36.07948303222656,131.52947998046875,-25.55137825012207,139.35960388183594
sweep_seed_1198584151,616.7245483398438,711.6050415039062,94.8804931640625,143.5778031349182,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 2, 1)",1198584151,NE_convergence_experiment,False,-13.805240631103516,594.6742553710938,-47.892906188964844,455.7911376953125,-72.8165512084961,454.1683654785156
sweep_seed_1210451926,423.96319580078125,711.6050415039062,287.641845703125,123.23353505134583,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1210451926,NE_convergence_experiment,False,-24.106443405151367,140.3447265625,-35.34950256347656,134.9810791015625,-41.93447494506836,135.3465576171875
sweep_seed_1212824492,423.96319580078125,711.6050415039062,287.641845703125,128.34697914123535,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1212824492,NE_convergence_experiment,False,-18.64182472229004,140.34597778320312,-17.63239097595215,135.496337890625,-30.59770393371582,136.6443328857422
sweep_seed_1214280343,423.96319580078125,711.6050415039062,287.641845703125,120.12338280677795,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1214280343,NE_convergence_experiment,False,-24.884475708007812,139.90545654296875,-4.048689842224121,141.08230590820312,-17.00190544128418,137.6042938232422
sweep_seed_1241639944,423.96319580078125,711.6050415039062,287.641845703125,119.6411292552948,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 1)",1241639944,NE_convergence_experiment,False,-15.638876914978027,141.19979858398438,-11.393491744995117,141.54248046875,-21.724199295043945,133.3411865234375
sweep_seed_1246930851,616.7245483398438,711.6050415039062,94.8804931640625,119.86680293083191,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1246930851,NE_convergence_experiment,False,-48.545772552490234,601.6025390625,-2.644956111907959e-07,461.13885498046875,-18.40487289428711,463.39739990234375
sweep_seed_1247132544,616.7245483398438,711.6050415039062,94.8804931640625,111.50644516944885,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1247132544,NE_convergence_experiment,False,-99.94554138183594,582.4739990234375,-70.0968246459961,447.10235595703125,-3.665916681289673,444.568603515625
sweep_seed_1250663443,423.96319580078125,711.6050415039062,287.641845703125,123.18574953079224,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1250663443,NE_convergence_experiment,False,-17.756893157958984,139.8219451904297,-29.66139793395996,133.9497833251953,-42.74098587036133,136.24365234375
sweep_seed_1261792404,423.96319580078125,711.6050415039062,287.641845703125,138.0020477771759,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1261792404,NE_convergence_experiment,False,-12.852760314941406,147.1624755859375,-32.596797943115234,134.09133911132812,-10.097136497497559,141.3367462158203
sweep_seed_1278033094,423.96319580078125,711.6050415039062,287.641845703125,151.1013388633728,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 1)",1278033094,NE_convergence_experiment,False,-11.485535621643066,141.63711547851562,-38.17280960083008,137.94219970703125,-31.826894760131836,130.90689086914062
sweep_seed_1307338167,616.7245483398438,711.6050415039062,94.8804931640625,120.81362533569336,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 2, 1)",1307338167,NE_convergence_experiment,False,7.934868335723877e-07,600.7461547851562,-27.19098663330078,461.5481262207031,-12.421262741088867,459.49066162109375
sweep_seed_13253302,423.96319580078125,709.6050415039062,285.641845703125,123.6036479473114,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 0, 2)",13253302,NE_convergence_experiment,False,-9.936038970947266,140.65029907226562,-36.5650749206543,135.85975646972656,-19.548168182373047,137.86083984375
sweep_seed_1344777899,616.7245483398438,711.6050415039062,94.8804931640625,111.37059783935547,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1344777899,NE_convergence_experiment,False,-53.25777816772461,591.6052856445312,-41.87284851074219,453.45013427734375,-27.075557708740234,452.3583984375
sweep_seed_1358653540,616.7245483398438,711.6050415039062,94.8804931640625,112.00082850456238,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1358653540,NE_convergence_experiment,False,-14.244101524353027,596.5145874023438,-26.696372985839844,458.2778625488281,-13.764978408813477,456.8541259765625
sweep_seed_1360466708,423.96319580078125,711.6050415039062,287.641845703125,120.51923131942749,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1360466708,NE_convergence_experiment,False,-14.055229187011719,140.2869873046875,-24.614320755004883,131.75607299804688,-25.456972122192383,138.0380096435547
sweep_seed_136538205,616.7245483398438,711.6050415039062,94.8804931640625,116.73966002464294,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 2, 1)",136538205,NE_convergence_experiment,False,4.842877388000488e-08,603.1149291992188,-8.23116683959961,461.9697265625,-33.6277961730957,463.435302734375
sweep_seed_13977115,616.7245483398438,711.6050415039062,94.8804931640625,122.09410548210144,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 2, 1)",13977115,NE_convergence_experiment,False,-58.976654052734375,578.8473510742188,-17.446802139282227,443.286376953125,-32.84783935546875,443.13629150390625
sweep_seed_1402190273,616.7245483398438,711.6050415039062,94.8804931640625,110.2604308128357,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1402190273,NE_convergence_experiment,False,-40.22633743286133,591.072021484375,-33.27950668334961,452.706787109375,-37.36711502075195,453.6404113769531
sweep_seed_1421165723,423.96319580078125,711.6050415039062,287.641845703125,120.87844920158386,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 1)",1421165723,NE_convergence_experiment,False,-28.56482696533203,136.85354614257812,-18.625198364257812,141.25479125976562,-33.33263397216797,131.8695526123047
sweep_seed_1423623685,616.7245483398438,711.6050415039062,94.8804931640625,122.71583700180054,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1423623685,NE_convergence_experiment,False,-85.5094223022461,581.3131713867188,-51.3697395324707,446.31414794921875,-10.685786247253418,443.36773681640625
sweep_seed_1424584135,423.96319580078125,711.6050415039062,287.641845703125,124.85525894165039,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1424584135,NE_convergence_experiment,False,-20.470806121826172,137.78302001953125,-32.61309814453125,129.37698364257812,-21.23667335510254,140.30905151367188
sweep_seed_1429424934,423.96319580078125,709.6050415039062,285.641845703125,117.80579900741577,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 2, 0)",1429424934,NE_convergence_experiment,False,-8.620262145996094,142.32327270507812,-23.633026123046875,136.57557678222656,-50.41499710083008,135.15695190429688
sweep_seed_1432104431,616.7245483398438,711.6050415039062,94.8804931640625,111.40886235237122,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1432104431,NE_convergence_experiment,False,-34.79148483276367,586.7870483398438,-46.49845886230469,449.2606506347656,-29.524757385253906,449.1531066894531
sweep_seed_1434554516,423.96319580078125,711.6050415039062,287.641845703125,128.28521156311035,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1434554516,NE_convergence_experiment,False,-6.347044944763184,142.53465270996094,-35.687435150146484,130.21214294433594,-24.65758514404297,138.7071990966797
sweep_seed_1437882509,423.96319580078125,711.6050415039062,287.641845703125,122.77655935287476,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1437882509,NE_convergence_experiment,False,-7.970491886138916,145.61021423339844,-34.89930725097656,132.43629455566406,-38.358333587646484,136.59243774414062
sweep_seed_1459551595,616.7245483398438,711.6050415039062,94.8804931640625,112.80399584770203,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1459551595,NE_convergence_experiment,False,-13.488811492919922,598.66552734375,-6.794870376586914,458.27105712890625,-24.108983993530273,460.2840270996094
sweep_seed_1460719170,616.7245483398438,711.6050415039062,94.8804931640625,111.76659822463989,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1460719170,NE_convergence_experiment,False,-25.479381561279297,593.457763671875,-26.831798553466797,456.151611328125,-23.338134765625,454.11614990234375
sweep_seed_1478520530,423.96319580078125,711.6050415039062,287.641845703125,120.49865984916687,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 1, 0)",1478520530,NE_convergence_experiment,False,-20.687969207763672,141.84376525878906,-19.388423919677734,136.47837829589844,-20.952163696289062,139.2506866455078
sweep_seed_1478576672,423.96319580078125,711.6050415039062,287.641845703125,128.38103675842285,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 1)",1478576672,NE_convergence_experiment,False,-19.84964370727539,140.5479736328125,-18.190828323364258,139.32174682617188,-15.477892875671387,136.69088745117188
sweep_seed_1478946054,423.96319580078125,709.6050415039062,285.641845703125,118.23564410209656,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 2, 0)",1478946054,NE_convergence_experiment,False,-29.944372177124023,141.39414978027344,-31.796327590942383,133.4369659423828,-33.34415817260742,139.099853515625
sweep_seed_1489578131,423.96319580078125,711.6050415039062,287.641845703125,126.76426410675049,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(2, 0, 1)",1489578131,NE_convergence_experiment,False,-4.686167240142822,144.0674591064453,-41.088314056396484,137.41847229003906,-49.544586181640625,128.75390625
sweep_seed_1489704928,616.7245483398438,711.6050415039062,94.8804931640625,118.60856986045837,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 1, 2)",1489704928,NE_convergence_experiment,False,-13.339497566223145,597.0005493164062,-56.28244400024414,457.63153076171875,-22.923236846923828,457.095947265625
sweep_seed_1492650611,423.96319580078125,709.6050415039062,285.641845703125,121.4170184135437,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(1, 2, 0)",1492650611,NE_convergence_experiment,False,-31.84809684753418,134.47161865234375,-43.25688171386719,133.2640380859375,-12.71487808227539,141.40550231933594
sweep_seed_1508193007,616.7245483398438,711.6050415039062,94.8804931640625,113.35688662528992,64,65,3,3,3,1,64,0.99,64,True,True,0.001,"(0, 2, 1)",1508193007,NE_convergence_experiment,False,-56.51681900024414,591.7447509765625,-54.186702728271484,455.0959777832031,-15.979253768920898,451.7264709472656
