run_id,final_potential,optimal_potential,convergence_gap,training_time,num_episodes,final_trajectory_length,config_num_agents,config_state_dim,config_action_dim,config_history_len,config_episode_len,config_gamma,config_batch_size,config_use_episodic_freeze,config_use_baseline,config_learning_rate,config_init_states_tuple,config_seed,config_experiment_name,config_check_nash_equilibrium,agent_0_final_loss,agent_0_final_return,agent_1_final_loss,agent_1_final_return,agent_2_final_loss,agent_2_final_return
sweep_seed_4146964028,711.6050415039062,711.6050415039062,0.0,476.97739124298096,128,65,3,3,3,1,64,0.99,64,False,True,0.001,"(0, 2, 1)",4146964028,classic_reinforce_analyze_earlystopping_of_best,False,5.477602005004883,217.48171997070312,-13.908605575561523,160.75843811035156,-14.187617301940918,162.07962036132812
sweep_seed_645114141,711.6050415039062,711.6050415039062,0.0,479.37090396881104,128,65,3,3,3,1,64,0.99,64,False,True,0.001,"(0, 2, 1)",645114141,classic_reinforce_analyze_earlystopping_of_best,False,-5.767615795135498,209.450927734375,-25.81342315673828,152.5133056640625,8.334468841552734,153.2777099609375
sweep_seed_773654992,709.6050415039062,709.6050415039062,0.0,478.9596779346466,128,65,3,3,3,1,64,0.99,64,False,True,0.001,"(1, 1, 2)",773654992,classic_reinforce_analyze_earlystopping_of_best,False,-5.771914005279541,216.4805145263672,-36.94239044189453,159.61415100097656,-43.39621353149414,159.54116821289062
