run_id,initial_state,final_potential,optimal_potential,convergence_gap,training_time,num_episodes,final_trajectory_length,is_nash_equilibrium,config_num_agents,config_state_dim,config_action_dim,config_history_len,config_episode_len,config_gamma,config_batch_size,config_use_episodic_freeze,config_use_baseline,config_learning_rate,config_init_states_tuple,config_seed,config_experiment_name,config_check_nash_equilibrium,agent_0_final_loss,agent_0_final_return,agent_1_final_loss,agent_1_final_return,agent_2_final_loss,agent_2_final_return
sweep_seed_1025451466,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1787.366869211197,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",1025451466,classic_reinforce_1000exps_250batched_episodes,False,-2.642662525177002,344.80841064453125,-7.47339391708374,265.13372802734375,-11.48110294342041,265.1880798339844
sweep_seed_1196292147,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1769.509893655777,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",1196292147,classic_reinforce_1000exps_250batched_episodes,False,-7.506706237792969,343.8239440917969,-6.848206520080566,264.23785400390625,-13.95964241027832,264.4087219238281
sweep_seed_1247132544,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1747.5305449962616,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",1247132544,classic_reinforce_1000exps_250batched_episodes,False,-9.188680648803711,344.3994140625,-6.658035755157471,264.80096435546875,-6.642355918884277,264.8289794921875
sweep_seed_1424584135,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1756.2349288463593,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",1424584135,classic_reinforce_1000exps_250batched_episodes,False,-7.782523155212402,343.98193359375,-12.950433731079102,264.5679931640625,-5.064960956573486,264.413818359375
sweep_seed_2307628818,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1769.7701194286346,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",2307628818,classic_reinforce_1000exps_250batched_episodes,False,-7.618422031402588,344.6072082519531,-6.8506574630737305,264.9683532714844,-11.796292304992676,265.01318359375
sweep_seed_2513897623,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1759.2076921463013,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",2513897623,classic_reinforce_1000exps_250batched_episodes,False,-9.441133499145508,344.4715881347656,-4.945215702056885,264.8707580566406,-7.031702518463135,264.9443359375
sweep_seed_2927652566,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1761.5246930122375,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",2927652566,classic_reinforce_1000exps_250batched_episodes,False,-6.945523738861084,343.9547119140625,-10.945372581481934,264.4759521484375,-8.46611213684082,264.3759765625
sweep_seed_3146054125,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1745.5613479614258,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",3146054125,classic_reinforce_1000exps_250batched_episodes,False,-7.204156398773193,344.2983093261719,-6.833677768707275,264.765380859375,-6.897759437561035,264.72369384765625
sweep_seed_3424658561,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1716.1519842147827,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",3424658561,classic_reinforce_1000exps_250batched_episodes,False,-7.890658855438232,344.32025146484375,-15.387014389038086,264.7729797363281,-4.873783111572266,264.7257080078125
sweep_seed_3610017889,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1767.7576563358307,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",3610017889,classic_reinforce_1000exps_250batched_episodes,False,-13.605420112609863,343.90203857421875,-7.084471225738525,264.33868408203125,-12.578886032104492,264.4137268066406
sweep_seed_3722490200,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1770.4633843898773,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",3722490200,classic_reinforce_1000exps_250batched_episodes,False,-11.464883804321289,344.8187561035156,-6.645052433013916,265.2137756347656,-2.889540433883667,265.19635009765625
sweep_seed_4027274691,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1743.7921345233917,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",4027274691,classic_reinforce_1000exps_250batched_episodes,False,-6.904632568359375,344.59271240234375,-7.779094219207764,264.9686584472656,-7.421821594238281,264.9913330078125
sweep_seed_4050547448,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1778.5003399848938,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",4050547448,classic_reinforce_1000exps_250batched_episodes,False,-15.518342018127441,344.5683898925781,-4.674198627471924,264.96014404296875,-9.115753173828125,265.00054931640625
sweep_seed_721252997,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1769.7043838500977,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",721252997,classic_reinforce_1000exps_250batched_episodes,False,-5.045563220977783,344.65130615234375,-9.269119262695312,265.0653381347656,-4.869529724121094,265.0186767578125
sweep_seed_915442270,"(2.0, 1.0, 1.0)",616.7245483398438,709.6050415039062,92.8804931640625,1731.1906447410583,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 1)",915442270,classic_reinforce_1000exps_250batched_episodes,False,-3.5015532970428467,344.6168212890625,-6.756048202514648,264.99908447265625,-7.821317195892334,264.9693603515625
